title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Top news,CNA,,,,https://www.channelnewsasia.com/news/world/eu-begins-vaccine-roll-out-as-new-coronavirus-variant-spreads-13844728,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Commentary: New coronavirus strain makes getting vaccinated more important,CNA,2 days ago,2020-12-24 22:32:47.074161,"Given the speed at which the coronavirus can mutate, it is critical we get the virus under control to prevent it from undermining vaccination ...",https://www.channelnewsasia.com/news/commentary/covid-coronavirus-uk-new-strain-mutate-vaccine-effective-spread-13830514,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.34545454545454546,0.6515151515151515,0.2247
"Top US coronavirus official Deborah Birx retiring, citing family strain",The Straits Times,2 days ago,2020-12-24 22:32:42.182899,"WASHINGTON (AFP) - White House coronavirus task force coordinator Deborah Birx has said she plans to soon retire, ending a tumultuous assignment that ...",https://www.straitstimes.com/world/united-states/top-us-coronavirus-official-deborah-birx-retiring-citing-family-strain,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.1531
Austrian court overturns coronavirus mask mandate in schools,The Straits Times,2 days ago,2020-12-24 22:32:42.179899,"VIENNA (AFP) - Austria's Constitutional Court ruled on Wednesday (Dec 23) that two government measures to fight the spread of coronavirus in schools, ...",https://www.straitstimes.com/world/europe/austrian-court-overturns-coronavirus-mask-mandate-in-schools,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Commentary: New coronavirus strain makes getting vaccinated more important,CNA,2 days ago,2020-12-24 22:32:42.176899,"Given the speed at which the coronavirus can mutate, it is critical we get the virus under control to prevent it from undermining vaccination ...",https://www.channelnewsasia.com/news/commentary/covid-coronavirus-uk-new-strain-mutate-vaccine-effective-spread-13830514,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.34545454545454546,0.6515151515151515,0.2247
"Israel announces third nationwide coronavirus lockdown, Middle East News & Top Stories",The Straits Times,2 days ago,2020-12-24 22:32:42.173893,Israelis will be barred from travelling more than 1km from their homes and businesses will be closed except for deliveries.. Read more at straitstimes.com.,https://www.straitstimes.com/world/middle-east/israel-announces-third-nationwide-coronavirus-lockdown,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.16666666666666666,0.16666666666666666,0.2023
Facebook bans Australian celebrity chef Pete Evans over coronavirus misinformation,The Straits Times,2 days ago,2020-12-24 22:32:42.166897,"Mr Evans described the science around the pandemic as ""BS"".. Read more at straitstimes.com.",https://www.straitstimes.com/asia/australianz/facebook-bans-australian-celebrity-chef-pete-evans-over-coronavirus-misinformation,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3182
More of England to go into top tier of coronavirus restrictions to tackle spread of mutant strain,The Straits Times,2 days ago,2020-12-24 22:32:42.163899,"The new variant is ""spreading at a dangerous rate"", says the UK government.. Read more at straitstimes.com.",https://www.straitstimes.com/world/europe/more-of-england-to-go-into-top-tier-of-coronavirus-restrictions-to-tackle-spread-of,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.1531
How South Korea's early coronavirus success left it scrambling to contain a new wave,The Straits Times,2 days ago,2020-12-24 22:32:42.160894,"INCHEON/SUWON (REUTERS) - On the fourth floor of the Incheon city hall, South Korean epidemiological investigator Jang Hanaram's office is stuffed with six ...",https://www.straitstimes.com/asia/east-asia/how-south-koreas-early-coronavirus-success-left-it-scrambling-to-contain-a-new-wave,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1340909090909091,0.18863636363636363,0.5719
Another new variant of COVID-19 virus found in the UK: Health minister,CNA,2 days ago,2020-12-24 22:32:41.604893,"Britain has detected another new variant of the coronavirus, Health Secretary Matt Hancock said on Wednesday.",https://www.channelnewsasia.com/news/world/another-new-covid-19-coronavirus-variant-detected-uk-13832118,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
"Sinopharm Covid-19 vaccine undergoing regulatory review, report says",South China Morning Post,2 days ago,2020-12-24 22:32:41.598894,"Centre for Drug Evaluation reviewing company's application to release one of its two candidates to market, Chinese news website says.",https://www.scmp.com/news/china/science/article/3115309/coronavirus-sinopharm-vaccine-undergoing-regulatory-review,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Anti-Myanmar hate speech flares in Thailand over coronavirus,The Straits Times,2 days ago,2020-12-24 22:32:41.594893,"BANGKOK (REUTERS) - ""Wherever you see Myanmar people, shoot them down,"" read one Thai comment on YouTube after a surge of coronavirus cases ...",https://www.straitstimes.com/asia/se-asia/anti-myanmar-hate-speech-flares-in-thailand-over-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.8,0.9,-0.5719
Coronavirus latest: Singapore confirms first case of UK mutation,Nikkei Asia,2 days ago,2020-12-24 22:32:41.588918,"Nikkei Asia is tracking the spread of the new coronavirus that originated in the central Chinese city of Wuhan.Global cases have reached 78576628, a.",https://asia.nikkei.com/Spotlight/Coronavirus/Coronavirus-Free-to-read/Coronavirus-latest-Singapore-confirms-first-case-of-UK-mutation,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.375,0.6166666666666667,0.0
December 23 coronavirus news,CNN.com,2 days ago,2020-12-24 22:32:34.956307,"The coronavirus pandemic has brought countries to a standstill. Meanwhile, vaccinations have already started in some countries as cases continue to rise.",https://www.cnn.com/world/live-news/coronavirus-pandemic-vaccine-updates-12-23-20/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
China to suspend direct flights to and from Britain over new coronavirus strain fears,The Straits Times,2 days ago,2020-12-24 22:32:34.953294,"It joins other destinations including Hong Kong, Japan and Singapore in tightening restrictions.. Read more at straitstimes.com.",https://www.straitstimes.com/asia/east-asia/china-to-suspend-direct-flights-to-and-from-britain-over-virus-strain-fears,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.11818181818181818,0.42727272727272725,-0.6486
Another new coronavirus variant detected in UK,The Business Times,2 days ago,2020-12-24 22:32:34.937309,"[LONDON] Britain has detected another new variant of the coronavirus, Health Secretary Matt Hancock said on Wednesday. Read more at The Business Times.",https://www.businesstimes.com.sg/government-economy/another-new-coronavirus-variant-detected-in-uk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
Another new coronavirus variant detected in UK,The Business Times,2 days ago,2020-12-24 22:32:34.415465,"[LONDON] Britain has detected another new variant of the coronavirus, Health Secretary Matt Hancock said on Wednesday. Read more at The Business Times.",https://www.businesstimes.com.sg/government-economy/another-new-coronavirus-variant-detected-in-uk,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
Opinion | Coronavirus Vaccine Distribution Could Get Chaotic,The New York Times,3 days ago,2020-12-23 22:32:41.585919,"There are already signs that the rollout will be messy, confusing and chaotic.",https://www.nytimes.com/2020/12/23/opinion/vaccine-distribution.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4939
Covid hotspots NSW: list of Sydney and regional coronavirus case locations,The Guardian,3 days ago,2020-12-23 22:32:34.950297,Here are the current coronavirus hotspots in New South Wales and what to do if you've visited them.,https://www.theguardian.com/australia-news/2020/dec/23/covid-hotspots-nsw-list-of-sydney-and-regional-coronavirus-case-locations,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Vaccine hesitancy stirs in nearly COVID-free Singapore,Aljazeera.com,3 days ago,2020-12-23 22:32:34.930309,First vaccines arrived this week with prime minister expected to be among first recipients to boost public confidence.,https://www.aljazeera.com/news/2020/12/23/vaccine-hesitancy-stirs-in-nearly-covid-19-free-singapore,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1,0.4,-0.2263
Coronavirus: Impact of new variant on children investigated,BBC News,4 days ago,2020-12-22 22:32:47.088188,Experts urgently assess whether the mutation of coronavirus spreads more easily among the young.,https://www.bbc.com/news/uk-55406939,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
Coronavirus: Impact of new variant on children investigated,BBC News,4 days ago,2020-12-22 22:32:42.188899,Experts urgently assess whether the mutation of coronavirus spreads more easily among the young.,https://www.bbc.com/news/uk-55406939,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
Coronavirus: Impact of new variant on children investigated,BBC News,4 days ago,2020-12-22 22:32:34.418464,Experts urgently assess whether the mutation of coronavirus spreads more easily among the young.,https://www.bbc.com/news/uk-55406939,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
"Mutant coronavirus in the United Kingdom sets off alarms, but its importance remains unclear",Science Magazine,5 days ago,2020-12-21 22:32:47.104161,European countries impose travel bans as scientists probe whether new strain spreads faster or causes more severe COVID-19.,https://www.sciencemag.org/news/2020/12/mutant-coronavirus-united-kingdom-sets-alarms-its-importance-remains-unclear,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.2732
Congress agrees to $900 billion Covid stimulus deal after months of failed negotiations,CNBC,5 days ago,2020-12-21 22:32:47.098161,"Congress reached a deal on a $900 billion coronavirus relief package, according to Senate Majority Leader Mitch McConnell and Minority Leader Chuck ...",https://www.cnbc.com/2020/12/20/mcconnell-says-congress-has-agreed-to-900-billion-coronavirus-stimulus-deal.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.5,0.3,-0.3612
Coronavirus News: What We Know About the Latest Mutation in the UK,Bloomberg,5 days ago,2020-12-21 22:32:47.095161,"Viruses mutate all the time, including the novel coronavirus that's caused the global pandemic. But a variant that emerged in southeast England in September is ...",https://www.bloomberg.com/news/articles/2020-12-21/why-the-u-k-s-mutated-coronavirus-is-fanning-worries-quicktake,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.9,0.0
"Explainer: How worried should we be about new coronavirus strain in UK, will vaccines work against it?",TODAYonline,6 days ago,2020-12-20 22:32:47.092168,"SINGAPORE — A new strain of the coronavirus that can spread more quickly has been identified in the United Kingdom, prompting British Prime Minister Boris ...",https://www.todayonline.com/singapore/explainer-how-worried-should-we-be-about-new-coronavirus-strain-uk-will-vaccines-work,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,-0.34
Leaked Documents Show How China’s Army of Paid Internet Trolls Helped Censor the Coronavirus,,1 week ago,2020-12-19 22:32:47.101162,"As the coronavirus spread in China, the government stage-managed what appeared on the domestic internet to make the virus look less severe and the ...",https://www.propublica.org/article/leaked-documents-show-how-chinas-army-of-paid-internet-trolls-helped-censor-the-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.6486
