title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump is appealing to Americans who have lost jobs not lives. And it may work.,CNN,"May 15, 2020",2020-05-15,But economic blight is everywhere and may brew a political storm that could punish Democrats if Trump can paint them as stubborn enemies of a return to work or ...,https://www.cnn.com/2020/05/15/politics/trump-2016-instincts-pandemic-second-term/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,-0.3182
Remarks by President Trump on Vaccine Development,Whitehouse.gov,"May 15, 2020",2020-05-15,"For example, today Secretary Perdue, together with Ivanka Trump, launched the Farmers and [to] Families Food Box Program, which will provide $3 billion to ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-vaccine-development/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Global report: Trump threat to cut trade ties over Covid-19 branded 'lunacy' by Chinese media,The Guardian,"May 14, 2020",2020-05-14,Global report: Trump threat to cut trade ties over Covid-19 branded 'lunacy' by Chinese media. President says he doesn't want to speak to counterpart Xi; Brazil ...,https://www.theguardian.com/world/2020/may/15/global-report-trade-deal-fears-after-trump-threat-to-cut-china-ties-over-covid-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.6705
'Obamagate': Trump seeks to draw Biden into conspiracy theory,The Guardian,"May 13, 2020",2020-05-13,"Trump's aggressive tactic looks set to deepen fears that he will stop at nothing to damage Obama and his vice-president, Joe Biden, the presumptive Democratic ...",https://www.theguardian.com/us-news/2020/may/13/donald-trump-obamagate-conspiracy-theory-biden-flynn-unmasking,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5267
Donald Trump extends Huawei ban through May 2021,The Verge,"May 13, 2020",2020-05-13,President Donald Trump has extended his executive order banning US companies from working with or buying telecommunications equipment from companies ...,https://www.theverge.com/2020/5/13/21257675/trump-extends-huawei-ban-may-2021-china-us-android-google-telecom,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4767
Trump abruptly ends press conference after reporters challenge him on coronavirus testing,CNBC,"May 11, 2020",2020-05-11,"Trump accused a CBS reporter of asking “a nasty question,” and then refused to answer questions from another reporter he had called upon. The exchanges ...",https://www.cnbc.com/2020/05/11/coronavirus-trump-ends-press-conference-after-reporters-challenge-him-on-testing.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,1.0,0.0772
Trump’s latest Twitter meltdown featured QAnon and a lot of “OBAMAGATE”,Vox,"th · May 11, 2020",2020-05-11,"Trump's latest Twitter meltdown features QAnon, accidental self-owns, and a lot of “OBAMAGATE”. In any previous era, the tweets would be a major national ...",https://www.vox.com/2020/5/11/21254398/trump-tweets-mothers-day-obamagate-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.9,0.0
"Attorney General Barr's intervention for Trump allies Michael Flynn and Roger Stone was 'egregious,' says prosecutor who quit DOJ",CNBC,"on · May 11, 2020",2020-05-11,"Attorney General Barr's intervention for Trump allies Michael Flynn and Roger Stone was 'egregious,' says prosecutor who quit DOJ. Published Mon, May 11 2020 ...",https://www.cnbc.com/2020/05/11/trump-allies-michael-flynn-roger-stone-got-help-from-william-barr.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.05000000000000002,0.5,0.0
"'Chaotic disaster': Obama hits Trump's coronavirus response, warns of disinformation ahead of election",NBC News,"May 9, 2020",2020-05-09,"'Chaotic disaster': Obama hits Trump's coronavirus response, warns of disinformation ahead of election. The former president was also critical of the Justice ...",https://www.nbcnews.com/politics/2020-election/chaotic-disaster-obama-hits-trump-s-coronavirus-response-warns-disinformation-n1203806,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.8271
Obama Criticizes Trump Administration in Private Call With Allies,The New York Times,"May 9, 2020",2020-05-09,"Trump's small-donor fund-raising machine. David Axelrod, who served as Mr. Obama's senior adviser in the White House and now runs the University of Chicago ...",https://www.nytimes.com/2020/05/09/us/politics/obama-flynn-coronavirus-trump.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.375,-0.34
