title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
"Erik Matti on K-Dramas: ""Faux cinderella stories with belofied ...",Philippine Entertainment Portal,"Apr 17, 2020",2020-04-17,Director Erik Matti (left) observes that K-Dramas will spell the doom of Pinoy movies and even TV shows. PHOTO/S: Noel Orsal / Itaewon Class. 67.1K.,https://www.pep.ph/guide/tv/150838/erik-matti-k-dramas-faux-cinderella-stories-a724-20200417,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Stuck inside? All the best Netflix Korean dramas to bingewatch,Film Daily,"Apr 17, 2020",2020-04-17,"If you've heard of people talk about Korean dramas, then maybe you're looking to check those out. What K-drama to choose though? There are many to check out ...",https://filmdaily.co/news/korean-dramas-to-bingewatch/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1.0,0.3,0.4939
17 K-Dramas To Binge Watch When You're Stuck At Home,soompi,"Apr 16, 2020",2020-04-16,"But if you've already gone through that list of K-dramas and are looking for more, here are some that you might want to check out. Warning: minor spoilers for the ...",https://www.soompi.com/article/1390939wpp/17-k-dramas-to-binge-watch-when-youre-stuck-at-home,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.25
Eight Korean shows on Netflix to discover during the lockdown,The Hindu,"Apr 16, 2020",2020-04-16,"Ranked among the top ten highest rated shows in Korean Drama history, this new series chronicles the trials of an ex-convict (Park Seo-Joon) who opens a bar ...",https://www.thehindu.com/entertainment/movies/eight-korean-shows-on-netflix-to-discover-during-the-lockdown/article31354836.ece,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
The 11 Best Korean Dramas on Netflix,Cinema Escapist,"Apr 15, 2020",2020-04-15,"Updated for summer 2020, this list of top Korean dramas contains selections from numerous sub-genres including romance, action, historical, and more. We chose ...",https://www.cinemaescapist.com/2020/04/best-korean-dramas-netflix/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1.0,0.3,0.6369
Embracing the Korean drama,The Runner Online,"Apr 15, 2020",2020-04-15,"K-dramas regularly have viewers binge watching entire series at a time. Carla Alvarado, Copy Editor April 15, 2020.",https://therunneronline.com/26714/opinion/embracing-the-korean-drama/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"5 things to know about Lee Min-ho, star of The King: Eternal Monarch",South China Morning Post,"Apr 14, 2020",2020-04-14,"Korea's top Hallyu star has been in many K-dramas and movies, and won Best Couple with Park Shin-hye, but what else is there to know? Topic | Fame and ...",https://www.scmp.com/magazines/style/celebrity/article/3079777/5-things-know-about-lee-min-ho-star-king-eternal-monarch,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"In Hyena, a new K-drama on Netflix, all’s fair in love and law",South China Morning Post,"Apr 12, 2020",2020-04-12,"In Hyena, a new Korean legal drama on Netflix, all's fair in love and law. Starring Ju Ji-hoon and Kim Hye-soo, the show makes for an engaging trip through some ...",https://www.scmp.com/magazines/post-magazine/arts-music/article/3078994/hyena-new-korean-legal-drama-netflix-alls-fair,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4454545454545455,0.6515151515151515,0.7579
‘World Of The Married’ Stylishly Remakes British Series ‘Dr. Foster’ Earning Record-Breaking Ratings,Forbes,"Apr 12, 2020",2020-04-12,"The k-drama closely follows the storyline of the 2017 British series. In both dramas, the main character is a successful doctor, who happily thinks she has it all.",https://www.forbes.com/sites/joanmacdonald/2020/04/12/world-of-the-married-stylishly-remakes-british-series-dr-foster-earning-record-breaking-ratings/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.4166666666666667,0.0
"""The World Of The Married"" Becomes The Second Highest ...",hellokpop,"Apr 12, 2020",2020-04-12,"The sixth episode of the drama which aired on April 11, recorded viewership ... nationwide and 21.4% in Seoul Metropolitan area according to Nielsen Korea.",https://www.hellokpop.com/news/the-world-of-the-married-becomes-the-second-highest-rated-jtbc-drama/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.125,0.125,0.0
Netizens Are Super Upset After Finding Out That Kim Tae ...,TODAYonline,"Apr 11, 2020",2020-04-11,"Korean drama, Hi Bye Mama, which is currently showing across Asia and which stars Kim Tae Hee, has found itself mired in controversy after it was revealed ...",https://www.todayonline.com/8days/sceneandheard/entertainment/netizens-are-super-upset-after-finding-out-kim-tae-hees-onscreen,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3333333333333333,0.6666666666666666,0.3182
Itaewon Class: Netflix’s delightful underdog revenge drama,South China Morning Post,"Apr 9, 2020",2020-04-09,"K-drama review: Itaewon Class – Netflix's underdog revenge epic sees Park Seo-joon make amazing climb up social ladder. This tale of revenge, love and ...",https://www.scmp.com/lifestyle/entertainment/article/3078986/k-drama-review-itaewon-class-netflixs-underdog-revenge-epic,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1.0,1.0,0.1027
9 K-Dramas To Watch If You're Feeling Lonely,soompi,"Apr 7, 2020",2020-04-07,"A lot of K-dramas focus on the lives of flashy teens, who go to fancy schools and drive expensive cars. Well, “Flower Boy Next Door” flips that on its head.",https://www.soompi.com/article/1387254wpp/9-k-dramas-to-watch-if-youre-feeling-lonely,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.09999999999999998,0.7,-0.25
Top five Korean drama series to binge-watch on Netflix,The Indian Express,"Apr 7, 2020",2020-04-07,"If that's your opinion as well, then it's time to change that because you are missing out on some brilliant drama series from South Korea. Here are five K-dramas ...",https://indianexpress.com/article/entertainment/web-series/top-five-action-thriller-korean-dramas-to-binge-watch-on-netflix-6349994/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
What are Shin Min-a’s best K-dramas?,South China Morning Post,"Apr 5, 2020",2020-04-05,"Shin Min-a's best K-dramas, from Chief of Staff to My Girlfriend is a Gumiho. The hallyu sweetheart stars in a Netflix Original series, and plays a nine-tailed fox, a ...",https://www.scmp.com/magazines/style/celebrity/article/3078308/shin-min-best-k-dramas-chief-staff-my-girlfriend-gumiho,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1.0,0.3,0.6369
5 things to know about South Korean romcom actress Gong Hyo-jin,South China Morning Post,"Apr 4, 2020",2020-04-04,5 things to know about Korean drama actress Gong Hyo-jin – as the 'queen of romantic comedies' turns 40. Let's look back on the life and work of one Korea's ...,https://www.scmp.com/magazines/style/celebrity/article/3078307/5-things-know-about-korean-drama-actress-gong-hyo-jin,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Finished Crash Landing on You? Watch this next,South China Morning Post,"Apr 4, 2020",2020-04-04,"New K-drama How to Buy a Friend will fill that gap. The dark, mysterious and suspense-filled Korean drama stars I.O.I's Kim So-hye, Lee Shin-young – who stole ...",https://www.scmp.com/magazines/style/celebrity/article/3078316/still-miss-crash-landing-you-new-k-drama-how-buy-friend,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4019
An Introduction to K-dramas,Cherwell Online,"Apr 4, 2020",2020-04-04,"Given the popularity of Parasite, here are four K-dramas (all available on Netflix) that should definitely be on your “must watch” list. MR SUNSHINE. Don't be ...",https://cherwell.org/2020/04/04/an-introduction-to-k-dramas/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
‘When The Weather Is Fine’ will be your newest K-Drama obsession,,"Apr 4, 2020",2020-04-04,"Is there anyone out there not watching a K-drama and swooning over their favorite Oppa – whether it be Park Seo-Joon (What's Wrong With Secretary Kim?), ...",https://pop.inquirer.net/90922/when-the-weather-is-fine-will-be-your-newest-k-drama-obsession,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4166666666666667,0.5,-0.34
"Itaewon Class, a Korean Drama That Just Hits Different",Vulture,"Apr 2, 2020",2020-04-02,"A magical alchemy occurs when the right elements come together in a Korean drama — a balance between the beautiful and the unbelievable. Itaewon Class, a ...",https://www.vulture.com/2020/04/itaewon-class-a-korean-drama-that-just-hits-different.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.6,0.0
Loved Itaewon Class? Five new K-dramas to watch out for,South China Morning Post,"Apr 2, 2020",2020-04-02,Five new K-dramas that could get you hooked. South Korean drama Itaewon Class was the most watched Netflix series in Hong Kong this week; If you love K- ...,https://www.scmp.com/lifestyle/entertainment/article/3077877/loved-netflix-favourite-itaewon-class-five-new-k-dramas,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.41818181818181815,0.6272727272727273,0.5994
Why Older Actresses Are Often Cast With Younger Actors In Korean Dramas,Forbes,"Apr 1, 2020",2020-04-01,"Korean TV dramas often cast actresses who are older in real life than their leading men. Take the case of the drama Hyena, which stars actress Kim Hye-soo ...",https://www.forbes.com/sites/joanmacdonald/2020/04/01/why-older-actresses-are-often-cast-with-younger-actors-in-korean-dramas/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.08333333333333333,0.16666666666666666,0.0
